Book-Title,Book-Author,Image-URL-M,num_rating,avg_rating
American Gods,Neil Gaiman,https://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg,302,4.006622517
Skipping Christmas,JOHN GRISHAM,https://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg,322,4.00621118
Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,https://images.amazon.com/images/P/0842329129.01.MZZZZZZZ.jpg,318,4.003144654
"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,https://images.amazon.com/images/P/037582345X.01.MZZZZZZZ.jpg,336,4
The Color Purple,Alice Walker,https://images.amazon.com/images/P/0671617028.01.MZZZZZZZ.jpg,314,3.964968153
Silence of the Lambs,Thomas Harris,https://images.amazon.com/images/P/0312924585.01.MZZZZZZZ.jpg,256,3.9609375
About a Boy,Nick Hornby,https://images.amazon.com/images/P/1573227331.01.MZZZZZZZ.jpg,262,3.900763359
Seven Up (A Stephanie Plum Novel),Janet Evanovich,https://images.amazon.com/images/P/0312265840.01.MZZZZZZZ.jpg,278,3.888489209
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,https://images.amazon.com/images/P/0062502174.01.MZZZZZZZ.jpg,266,3.87593985
Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,https://images.amazon.com/images/P/0312983867.01.MZZZZZZZ.jpg,269,3.82527881
Suzanne's Diary for Nicholas,James Patterson,https://images.amazon.com/images/P/0316969443.01.MZZZZZZZ.jpg,457,3.820568928
Lord of the Flies,William Gerald Golding,https://images.amazon.com/images/P/0399501487.01.MZZZZZZZ.jpg,259,3.818532819
A Prayer for Owen Meany,John Irving,https://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg,413,3.796610169
"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,https://images.amazon.com/images/P/0345313860.01.MZZZZZZZ.jpg,301,3.777408638
White Oleander : A Novel (Oprah's Book Club),Janet Fitch,https://images.amazon.com/images/P/0316284955.01.MZZZZZZZ.jpg,356,3.77247191
